Issue Id,Summary,Description,Priority,Test Type,Step Action,Step Data,Step Expected Result,Components,Labels
300001,"As a patient starting intake, I want to be greeted by a conversational assistant that explains its role and captures my consent, so that I understand how the AI intake works before sharing information (AC-037.1)",Validates that a welcome message with an interactive consent card appears within 2 seconds of session start.,Medium,Manual,Patient opens the intake link or approaches an idle tablet,,"A welcome message appears within 2 seconds, explaining the intake purpose and displaying an interactive consent card",VAN,ManualTC surface:patient-chat-ui
300002,Persistent non-diagnostic disclaimer remains visible throughout the conversation (AC-037.2),Validates that the disclaimer banner persists across every conversation state.,Medium,Manual,Patient views the chat at any point in an active conversation,,A persistent banner states the assistant does not provide medical diagnoses or treatment recommendations,VAN,ManualTC surface:patient-chat-ui
300003,Consent gating blocks input until terms are accepted (AC-037.3),Validates that message input is disabled while consent is pending.,Medium,Manual,Patient attempts to type or send a message before accepting consent,,Input remains disabled and the patient is instructed to accept the terms before continuing,VAN,ManualTC surface:patient-chat-ui
300004,Conversation viewport auto-scrolls to latest content while keeping the disclaimer visible (AC-037.4),Validates viewport behavior as new messages or cards are added.,Medium,Manual,New messages or cards are added to the conversation,,The viewport moves to the latest message while the disclaimer remains visible,VAN,ManualTC surface:patient-chat-ui
300005,Patient declining consent is redirected to clinic staff and the session is locked (AC-037.ALT.1),Validates the decline path from the consent card.,Medium,Manual,Patient opts out on the consent card,,The assistant directs the patient to clinic staff and locks the chat session,VAN,ManualTC surface:patient-chat-ui
300006,"Service-unavailable fallback message on session load (AC-037.EX.1) — AMBIGUOUS: ""without exposing system errors"" has no defined negative list (see testability review)",Validates the fallback message shown when the chatbot service is unavailable at load.,Medium,Manual,The chatbot service is unavailable when the session loads,,A non-technical fallback message directs the patient to the receptionist; exact prohibited-content list is unresolved pending the testability review’s suggested rewrite,VAN,ManualTC surface:patient-chat-ui
300007,In-chat identifier prompt with format validation (AC-038.1),Validates the MRN/phone identifier card and its format validation.,Medium,Manual,Consent has been accepted and the assistant begins identification,,An in-chat card requests the patient’s MRN or registered phone number with format validation,VAN,ManualTC surface:patient-chat-ui
300008,OTP widget appears with masked destination and resend countdown (AC-038.2) — MISSING DATA: countdown duration unstated (see testability review),Validates the OTP entry widget after a valid identifier is submitted.,Medium,Manual,A valid identifier is submitted and an OTP is dispatched,,A six-digit entry widget appears with a masked destination and a resend countdown; exact countdown duration is unresolved pending the testability review’s suggested rewrite,VAN,ManualTC surface:patient-chat-ui
300009,Successful OTP verification continues the same conversation without reload (AC-038.3),Validates the verified state transition after correct OTP entry.,Medium,Manual,The patient enters the correct OTP,,The widget changes to a verified state and the assistant continues in the same conversation without a page reload,VAN,ManualTC surface:patient-chat-ui
300010,"OTP resend restarts the countdown, subject to a session resend limit (AC-038.ALT.1) — MISSING DATA: resend limit value unstated (see testability review)",Validates the resend flow after the countdown expires.,Medium,Manual,The resend timer has expired and the patient requests another code,,"A new OTP is sent and the timer restarts, subject to a session resend limit; exact limit is unresolved pending the testability review’s suggested rewrite",VAN,ManualTC surface:patient-chat-ui
300011,Verification locks out after five consecutive failed OTP attempts (AC-038.EX.1),Validates the lockout path after repeated OTP failures.,Medium,Manual,Five consecutive OTP attempts fail,,The widget locks and directs the patient to clinic staff,VAN,ManualTC surface:patient-chat-ui
300012,"Returning patient sees structured history cards for allergies, medications, and chronic conditions (AC-039.1)",Validates that history review renders structured cards with confirm/update actions.,Medium,Manual,An authenticated returning patient with existing records begins history review,,"The assistant displays structured cards for allergies, medications, and chronic conditions, each with confirmation and update actions",VAN,ManualTC surface:patient-chat-ui
300013,Single-tap history confirmation advances to symptom intake (AC-039.2),Validates the confirm action on a history card.,Medium,Manual,"The patient selects ""Looks Correct"" on a displayed history card",,The card shows a confirmed state and the assistant proceeds to symptom intake,VAN,ManualTC surface:patient-chat-ui
300014,Patient-reported history update is captured (AC-039.3) — MISSING DATA: destination/review mechanism for the captured change is unspecified (see testability review),Validates that a plain-language history change is captured.,Medium,Manual,The patient chooses to update history and provides a plain-language change,,The change is captured as patient-reported information for review; the exact review destination/mechanism is unresolved pending the testability review’s suggested rewrite,VAN,ManualTC surface:patient-chat-ui
300015,No-recorded-history state offers confirm-none or add-information options (AC-039.4),Validates the empty-history state of the history card.,Medium,Manual,No allergies or medications are recorded for the patient and the history card renders,,The assistant clearly states no records are on file and offers options to confirm none or add information,VAN,ManualTC surface:patient-chat-ui
300016,"Chief-complaint extraction captures core clinical slots (AC-040.1) — MISSING DATA: slot list is open-ended (""such as""), not a closed schema; matches EPIC-011 Dependency #2 (see testability review)","Validates extraction of complaint, location, onset, duration, and context from a free-text description.",Medium,Manual,An active intake conversation and the patient describes a concern,,"The assistant captures relevant details such as complaint, location, onset, duration, and context using non-diagnostic language; the authoritative slot schema is unresolved pending Dependency #2",VAN,ManualTC surface:patient-chat-ui
